Problem Name,Problem Description,Solution
01 Matrix,###  542\. 01 Matrix\n\nGiven an `m x n` binary matrix `mat` return _the distance of the nearest_`0`\n_for each cell_.\n\nThe distance between two adjacent cells is `1`.\n\n\n\n**Example 1:**\n\n![](https://assets.leetcode.com/uploads/2021/04/24/01-1-grid.jpg)\n\n    \n    \n    **Input:** mat = [[000][010][000]]\n    **Output:** [[000][010][000]]\n    \n\n**Example 2:**\n\n![](https://assets.leetcode.com/uploads/2021/04/24/01-2-grid.jpg)\n\n    \n    \n    **Input:** mat = [[000][010][111]]\n    **Output:** [[000][010][121]]\n    \n\n\n\n**Constraints:**\n\n  * `m == mat.length`\n  * `n == mat[i].length`\n  * `1 <= m n <= 104`\n  * `1 <= m * n <= 104`\n  * `mat[i][j]` is either `0` or `1`.\n  * There is at least one `0` in `mat`.\n\n,// Runtime: 534 ms (Top 69.67%) | Memory: 19.20 MB (Top 71.26%)\n\nclass Solution:\n    def updateMatrix(self mat: List[List[int]]) -> List[List[int]]:\n        if not mat or not mat[0]:\n            return []\n\n        m n = len(mat) len(mat[0])\n        queue = deque()\n        MAX_VALUE = m * n\n        \n        # Initialize the queue with all 0s and set cells with 1s to MAX_VALUE.\n        for i in range(m):\n            for j in range(n):\n                if mat[i][j] == 0:\n                    queue.append((i j))\n                else:\n                    mat[i][j] = MAX_VALUE\n        \n        directions = [(1 0) (-1 0) (0 1) (0 -1)]\n        \n        while queue:\n            row col = queue.popleft()\n            for dr dc in directions:\n                r c = row + dr col + dc\n                if 0 <= r < m and 0 <= c < n and mat[r][c] > mat[row][col] + 1:\n                    queue.append((r c))\n                    mat[r][c] = mat[row][col] + 1\n        \n        return mat\n
1-bit and 2-bit Characters,###  717\. 1-bit and 2-bit Characters\n\nWe have two special characters:\n\n  * The first character can be represented by one bit `0`.\n  * The second character can be represented by two bits (`10` or `11`).\n\nGiven a binary array `bits` that ends with `0` return `true` if the last\ncharacter must be a one-bit character.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** bits = [100]\n    **Output:** true\n    **Explanation:** The only way to decode it is two-bit character and one-bit character.\n    So the last character is one-bit character.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** bits = [1110]\n    **Output:** false\n    **Explanation:** The only way to decode it is two-bit character and two-bit character.\n    So the last character is not one-bit character.\n    \n\n\n\n**Constraints:**\n\n  * `1 <= bits.length <= 1000`\n  * `bits[i]` is either `0` or `1`.\n\n,"# Dev: Chumicat\n# Date: 2019/11/30\n# Submission: https://leetcode.com/submissions/detail/282638543/\n# (Time Space) Complexity : O(n) O(1)\n\nclass Solution:\n    def isOneBitCharacter(self bits: List[int]) -> bool:\n        """"""\n        :type bits: List[int]\n        :rtype: bool\n        """"""\n        # Important Rules:\n        # 1. If bit n is 0 bit n+1 must be a new char\n        # 2. If bits end with 1 last bit must be a two bit char\n        #    However this case had been rejected by question\n        # 3. If 1s in row and end with 0 \n        #    we can use count or 1s to check last char\n        #    If count is even last char is ""0""\n        #    If count is odd  last char is ""10""\n        # Strategy:\n        # 1. We don't care last element since it must be 0.\n        # 2. We check from reversed and count 1s in a row\n        # 3. Once 0 occur or list end We stop counting\n        # 4. We use count to determin result\n        # 5. Since we will mod count by 2 we simplify it to bool\n        ret = True\n        for bit in bits[-2::-1]:\n            if bit: ret = not ret\n            else: break\n        return ret\n"
132 Pattern,###  456\. 132 Pattern\n\nGiven an array of `n` integers `nums` a **132 pattern** is a subsequence of\nthree integers `nums[i]` `nums[j]` and `nums[k]` such that `i < j < k` and\n`nums[i] < nums[k] < nums[j]`.\n\nReturn `true` _if there is a**132 pattern** in _`nums` _ otherwise\nreturn_`false` _._\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** nums = [1234]\n    **Output:** false\n    **Explanation:** There is no 132 pattern in the sequence.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** nums = [3142]\n    **Output:** true\n    **Explanation:** There is a 132 pattern in the sequence: [1 4 2].\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** nums = [-1320]\n    **Output:** true\n    **Explanation:** There are three 132 patterns in the sequence: [-1 3 2] [-1 3 0] and [-1 2 0].\n    \n\n\n\n**Constraints:**\n\n  * `n == nums.length`\n  * `1 <= n <= 2 * 105`\n  * `-109 <= nums[i] <= 109`\n\n,// Runtime: 476 ms (Top 99.36%) | Memory: 36.40 MB (Top 85.77%)\n\nclass Solution:\n    def find132pattern(self nums: List[int]) -> bool:\n        stack third = [] float('-inf')\n        \n        for num in reversed(nums):\n            if num < third:\n                return True\n            while stack and stack[-1] < num:\n                third = stack.pop()\n            stack.append(num)\n        return False\n
2 Keys Keyboard,###  650\. 2 Keys Keyboard\n\nThere is only one character `'A'` on the screen of a notepad. You can perform\none of two operations on this notepad for each step:\n\n  * Copy All: You can copy all the characters present on the screen (a partial copy is not allowed).\n  * Paste: You can paste the characters which are copied last time.\n\nGiven an integer `n` return _the minimum number of operations to get the\ncharacter_ `'A'` _exactly_ `n` _times on the screen_.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** n = 3\n    **Output:** 3\n    **Explanation:** Initially we have one character 'A'.\n    In step 1 we use Copy All operation.\n    In step 2 we use Paste operation to get 'AA'.\n    In step 3 we use Paste operation to get 'AAA'.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** n = 1\n    **Output:** 0\n    \n\n\n\n**Constraints:**\n\n  * `1 <= n <= 1000`\n\n,class Solution:\n    def minSteps(self n: int) -> int:      \n        # at every step we can copy or paste\n        # paste -> we need to know the current clipboard content (count)\n        # copy -> set clipboard count to current screen count (we should consider it if the last operation was paste)\n        \n        memo = {}\n        \n        def dfs(clipboard_count screen_count):\n            if (clipboard_count screen_count) in memo:                   \n                return memo[(clipboard_count screen_count)]\n            \n            # we reached n this is a valid option\n            if screen_count == n: return 0\n            \n            # we passed n not a valid option\n            if screen_count > n: return float('inf')                \n            \n            # paste or copy\n            copy_opt = paste_opt = float('inf')\n            \n            # we should only paste if clipboard is not empty\n            if clipboard_count > 0:\n                paste_opt = dfs(clipboard_count screen_count + clipboard_count)             \n            \n            # we should consider copy only if the last operation was paste\n            if screen_count > clipboard_count:\n                copy_opt = dfs(screen_count screen_count) \n            \n            # save to memo\n            memo[(clipboard_count screen_count)] = 1 + min(paste_opt copy_opt)            \n            return memo[(clipboard_count screen_count)]\n            \n        return dfs(0 1)\n            \n
24 Game,"###  679\. 24 Game\n\nYou are given an integer array `cards` of length `4`. You have four cards\neach containing a number in the range `[1 9]`. You should arrange the numbers\non these cards in a mathematical expression using the operators `['+' '-'\n'*' '/']` and the parentheses `'('` and `')'` to get the value 24.\n\nYou are restricted with the following rules:\n\n  * The division operator `'/'` represents real division not integer division. \n    * For example `4 / (1 - 2 / 3) = 4 / (1 / 3) = 12`.\n  * Every operation done is between two numbers. In particular we cannot use `'-'` as a unary operator. \n    * For example if `cards = [1 1 1 1]` the expression `""-1 - 1 - 1 - 1""` is **not allowed**.\n  * You cannot concatenate numbers together \n    * For example if `cards = [1 2 1 2]` the expression `""12 + 12""` is not valid.\n\nReturn `true` if you can get such expression that evaluates to `24` and\n`false` otherwise.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** cards = [4187]\n    **Output:** true\n    **Explanation:** (8-4) * (7-1) = 24\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** cards = [1212]\n    **Output:** false\n    \n\n\n\n**Constraints:**\n\n  * `cards.length == 4`\n  * `1 <= cards[i] <= 9`\n\n",class Solution:\n    def judgePoint24(self cards: List[int]) -> bool:\n        return self.allComputeWays(cards 4 24)\n        \n    def allComputeWays(self nums l target):\n        if l == 1:\n            if abs(nums[0] - target) <= 1e-6:\n                return True\n            return False\n        for first in range(l):\n            for second in range(first + 1 l):\n                tmp1 tmp2 = nums[first] nums[second]\n                nums[second] = nums[l - 1]\n                \n                nums[first] = tmp1 + tmp2\n                if self.allComputeWays(nums l - 1 target):\n                    return True\n                nums[first] = tmp1 - tmp2\n                if self.allComputeWays(nums l - 1 target):\n                    return True\n                nums[first] = tmp2 - tmp1\n                if self.allComputeWays(nums l - 1 target):\n                    return True\n                nums[first] = tmp1 * tmp2\n                if self.allComputeWays(nums l - 1 target):\n                    return True\n                if tmp2:\n                    nums[first] = tmp1 / tmp2\n                    if self.allComputeWays(nums l - 1 target):\n                        return True\n                if tmp1:\n                    nums[first] = tmp2 / tmp1\n                    if self.allComputeWays(nums l - 1 target):\n                        return True\n                nums[first] nums[second] = tmp1 tmp2\n        return False
3Sum,###  15\. 3Sum\n\nGiven an integer array nums return all the triplets `[nums[i] nums[j]\nnums[k]]` such that `i != j` `i != k` and `j != k` and `nums[i] + nums[j] +\nnums[k] == 0`.\n\nNotice that the solution set must not contain duplicate triplets.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** nums = [-1012-1-4]\n    **Output:** [[-1-12][-101]]\n    **Explanation:** \n    nums[0] + nums[1] + nums[2] = (-1) + 0 + 1 = 0.\n    nums[1] + nums[2] + nums[4] = 0 + 1 + (-1) = 0.\n    nums[0] + nums[3] + nums[4] = (-1) + 2 + (-1) = 0.\n    The distinct triplets are [-101] and [-1-12].\n    Notice that the order of the output and the order of the triplets does not matter.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** nums = [011]\n    **Output:** []\n    **Explanation:** The only possible triplet does not sum up to 0.\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** nums = [000]\n    **Output:** [[000]]\n    **Explanation:** The only possible triplet sums up to 0.\n    \n\n\n\n**Constraints:**\n\n  * `3 <= nums.length <= 3000`\n  * `-105 <= nums[i] <= 105`\n\n,"class Solution(object):\n    def threeSum(self nums):\n        ans = []\n        nums.sort()\n        \n        for i in range(len(nums)):\n            if nums[i] > 0: break  # after sorting if the min > 0 we couldn't find such three values\n            if i > 0 and nums[i] == nums[i - 1]:  # ensure that nums[i] is not duplicated\n                continue               \n            l r = i + 1 len(nums) - 1\n            while l < r:\n                if nums[l] + nums[r] > -nums[i]:\n                    r -= 1\n                elif nums[l] + nums[r] < -nums[i]:\n                    l += 1\n                else:\n                    ans.append([nums[i] nums[l] nums[r]])\n					# update l to get a different sum\n                    l += 1\n                    while nums[l] == nums[l - 1] and l < r:\n                        l += 1\n        return ans\n"
3Sum Closest,###  16\. 3Sum Closest\n\nGiven an integer array `nums` of length `n` and an integer `target` find\nthree integers in `nums` such that the sum is closest to `target`.\n\nReturn _the sum of the three integers_.\n\nYou may assume that each input would have exactly one solution.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** nums = [-121-4] target = 1\n    **Output:** 2\n    **Explanation:** The sum that is closest to the target is 2. (-1 + 2 + 1 = 2).\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** nums = [000] target = 1\n    **Output:** 0\n    \n\n\n\n**Constraints:**\n\n  * `3 <= nums.length <= 1000`\n  * `-1000 <= nums[i] <= 1000`\n  * `-104 <= target <= 104`\n\n,# Runtime: 1535 ms (Top 7.9%) | Memory: 16.58 MB (Top 11.9%)\n\nclass Solution:\n    def threeSumClosest(self nums: List[int] target: int) -> int:\n        closet = float('inf')\n        nums.sort()\n        for i in range(len(nums) - 2):\n            l r = i + 1 len(nums) - 1\n            while l < r:\n                sum3 = nums[i] + nums[l] + nums[r]\n                print(sum3)\n                if sum3 < target:\n                    l += 1\n                else:\n                    r -=1\n                if abs(sum3 - target) < abs(closet - target):\n                    closet = sum3\n        return closet\n                
3Sum With Multiplicity,###  923\. 3Sum With Multiplicity\n\nGiven an integer array `arr` and an integer `target` return the number of\ntuples `i j k` such that `i < j < k` and `arr[i] + arr[j] + arr[k] ==\ntarget`.\n\nAs the answer can be very large return it **modulo** `109 + 7`.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** arr = [1122334455] target = 8\n    **Output:** 20\n    **Explanation:**\n    Enumerating by the values (arr[i] arr[j] arr[k]):\n    (1 2 5) occurs 8 times;\n    (1 3 4) occurs 8 times;\n    (2 2 4) occurs 2 times;\n    (2 3 3) occurs 2 times.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** arr = [112222] target = 5\n    **Output:** 12\n    **Explanation:**\n    arr[i] = 1 arr[j] = arr[k] = 2 occurs 12 times:\n    We choose one 1 from [11] in 2 ways\n    and two 2s from [2222] in 6 ways.\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** arr = [213] target = 6\n    **Output:** 1\n    **Explanation:** (1 2 3) occured one time in the array so we return 1.\n    \n\n\n\n**Constraints:**\n\n  * `3 <= arr.length <= 3000`\n  * `0 <= arr[i] <= 100`\n  * `0 <= target <= 300`\n\n,class Solution:\n    def threeSumMulti(self arr: List[int] target: int) -> int:\n        arr.sort()\n        count = 0\n        for i in range(0 len(arr)-2):\n            rem_sum = target - arr[i]\n            hash_map = {}\n            for j in range(i+1 len(arr)):\n                if arr[j] > rem_sum:\n                    break\n                if rem_sum - arr[j] in hash_map:\n                    count = count + hash_map[rem_sum-arr[j]]\n                # update the hash_map\n                hash_map[arr[j]] = hash_map.get(arr[j] 0) + 1\n        return count % 1000000007\n
4Sum,###  18\. 4Sum\n\nGiven an array `nums` of `n` integers return _an array of all the**unique**\nquadruplets_ `[nums[a] nums[b] nums[c] nums[d]]` such that:\n\n  * `0 <= a b c d < n`\n  * `a` `b` `c` and `d` are **distinct**.\n  * `nums[a] + nums[b] + nums[c] + nums[d] == target`\n\nYou may return the answer in **any order**.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** nums = [10-10-22] target = 0\n    **Output:** [[-2-112][-2002][-1001]]\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** nums = [22222] target = 8\n    **Output:** [[2222]]\n    \n\n\n\n**Constraints:**\n\n  * `1 <= nums.length <= 200`\n  * `-109 <= nums[i] <= 109`\n  * `-109 <= target <= 109`\n\n,class Solution:\n    def fourSum(self nums: List[int] target: int) -> List[List[int]]:\n        \n        if len(nums) < 4: return []\n        \n        nums.sort()\n        res = []\n        \n        for i in range(len(nums)):\n            for j in range(i + 1 len(nums)):\n                l = j+1\n                r = len(nums)-1\n                while l < r:\n\n                    sum_ = nums[i]+nums[j]+nums[l]+nums[r]\n                    a = [nums[i] nums[j] nums[l] nums[r]]\n                \n                    if sum_ == target and a not in res:\n                        res.append(a)\n                  \n                    if sum_ > target:\n                        r -= 1\n                    \n                    else:\n                        l += 1\n                        while l < r and nums[l-1] == nums[l]:\n                            l += 1\n                  \n        return res\n        \n        # An Upvote will be encouraging\n                    \n        \n
4Sum II,###  454\. 4Sum II\n\nGiven four integer arrays `nums1` `nums2` `nums3` and `nums4` all of length\n`n` return the number of tuples `(i j k l)` such that:\n\n  * `0 <= i j k l < n`\n  * `nums1[i] + nums2[j] + nums3[k] + nums4[l] == 0`\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** nums1 = [12] nums2 = [-2-1] nums3 = [-12] nums4 = [02]\n    **Output:** 2\n    **Explanation:**\n    The two tuples are:\n    1. (0 0 0 1) -> nums1[0] + nums2[0] + nums3[0] + nums4[1] = 1 + (-2) + (-1) + 2 = 0\n    2. (1 1 0 0) -> nums1[1] + nums2[1] + nums3[0] + nums4[0] = 2 + (-1) + (-1) + 0 = 0\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** nums1 = [0] nums2 = [0] nums3 = [0] nums4 = [0]\n    **Output:** 1\n    \n\n\n\n**Constraints:**\n\n  * `n == nums1.length`\n  * `n == nums2.length`\n  * `n == nums3.length`\n  * `n == nums4.length`\n  * `1 <= n <= 200`\n  * `-228 <= nums1[i] nums2[i] nums3[i] nums4[i] <= 228`\n\n,# Runtime: 1360 ms (Top 29.95%) | Memory: 14.2 MB (Top 70.39%)\nclass Solution:\n    def fourSumCount(self nums1: List[int] nums2: List[int] nums3: List[int] nums4: List[int]) -> int:\n        n1n2 = defaultdict(int)\n        for n1 in nums1:\n            for n2 in nums2:\n                n1n2[n1+n2] += 1\n        n3n4 = defaultdict(int)\n        for n3 in nums3:\n            for n4 in nums4:\n                n3n4[n3+n4] += 1\n        ans = 0\n        for s in n1n2:\n            ans += n1n2[s] * n3n4[-s]\n        return ans
